                                   Date     Open     High      Low    Close     Volume         Ema3         Ema6  Ema3-Ema6       Macd     Signal  Momentum  Macd-Signal        Rsi  Gradient      Buy     Sell        Target
Date                                                                                                                                                                                                                         
2021-02-26 20:05:00 2021-02-26 20:05:00  1250.82  1251.18  1244.24  1244.50  141.22800  1248.246279  1251.921586  -3.675308  -4.723557  -2.766643 -1.956914    -1.956914  21.035891     -24.5  1244.50      NaN   [1.0, 0.01]
2021-02-26 20:10:00 2021-02-26 20:10:00  1244.28  1249.79  1242.81  1249.50  157.42496  1248.873139  1251.229704  -2.356565  -4.911443  -3.195603 -1.715840    -1.715840  37.321759     191.5      NaN      NaN  [0.01, 0.01]
2021-02-26 20:15:00 2021-02-26 20:15:00  1249.79  1251.92  1247.35  1248.33  156.71363  1248.601570  1250.401217  -1.799648  -5.096009  -3.575684 -1.520325    -1.520325  35.278656      68.5      NaN      NaN  [0.01, 0.01]
2021-02-26 20:20:00 2021-02-26 20:20:00  1248.65  1253.49  1247.84  1250.87   92.19838  1249.735785  1250.535155  -0.799370  -4.979917  -3.856531 -1.123387    -1.123387  43.356694     203.5      NaN      NaN  [0.01, 0.01]
2021-02-26 20:25:00 2021-02-26 20:25:00  1251.29  1256.61  1250.40  1252.40  135.47436  1251.067892  1251.067968  -0.000076  -4.710160  -4.027256 -0.682903    -0.682903  48.044097    -277.0      NaN      NaN  [0.01, 0.01]
2021-02-26 20:30:00 2021-02-26 20:30:00  1252.14  1253.50  1245.00  1245.33  100.10568  1248.198946  1249.428549  -1.229602  -5.009123  -4.223630 -0.785493    -0.785493  32.932328    -909.0      NaN      NaN  [0.01, 0.01]
2021-02-26 20:35:00 2021-02-26 20:35:00  1245.13  1245.71  1234.22  1234.22  244.11079  1241.209473  1245.083249  -3.873776  -6.072537  -4.593411 -1.479126    -1.479126  20.671441    -684.0      NaN      NaN  [0.01, 0.01]
2021-02-26 20:40:00 2021-02-26 20:40:00  1234.17  1237.50  1231.47  1231.65  286.64358  1236.429737  1241.245178  -4.815441  -7.041507  -5.083030 -1.958477    -1.958477  18.735205     278.0      NaN      NaN  [0.01, 0.01]
2021-02-26 20:45:00 2021-02-26 20:45:00  1231.77  1240.74  1231.21  1239.78  171.87817  1238.104868  1240.826556  -2.721687  -7.071880  -5.480800 -1.591080    -1.591080  40.051237    -136.0      NaN      NaN  [0.01, 0.01]
2021-02-26 20:50:00 2021-02-26 20:50:00  1239.41  1239.78  1227.40  1228.93  264.33914  1233.517434  1237.427540  -3.910106  -7.880613  -5.960763 -1.919850    -1.919850  28.203655    -759.0      NaN      NaN  [0.01, 0.01]
